id,module,subtype,difficulty,text,target,display,distractor_1,distractor_2,distractor_3,distractor_family,weight,enabled,answer_correct,construction_id,cluster_family,cluster_surface,frame,subject,clitic_1,clitic_2,clitic_3,semantic_type,acoustic_tags,contrast_1,contrast_2,contrast_3,notes
PC_0015,SINGLE_CLITIC,REFLEXIVE,D2,Elle s'est inscrite.,她报名了,她报名了,他报名了,她取消报名了,她已经到了,SUBJECT|POLARITY|LEXICAL,1.7,1,她报名了,S_INSCRIRE,SINGLE_REFLEXIVE,s',PASSE_COMPOSE,ELLE,SE,,,LEXICAL_REFLEXIVE,S_EST,SUBJECT,POLARITY,LEXICAL,seed=PC_0015; context=NONE
PC_0016,SINGLE_CLITIC,REFLEXIVE,D2,Ils se sont rencontrés.,他们见面了,他们见面了,我们见面了,他们没见面,他们打电话了,SUBJECT|POLARITY|LEXICAL,1.5,1,他们见面了,SE_RENCONTRER,SINGLE_REFLEXIVE,se,PASSE_COMPOSE,ILS,SE,,,RECIPROCAL,SE_SONT,SUBJECT,POLARITY,LEXICAL,seed=PC_0016; context=NONE
PC_0017,SINGLE_CLITIC,SINGLE_COD,D2,"Hier, je l'ai reçu.",昨天，我收到这个了,昨天，我收到这个了,昨天，他收到这个了,昨天，我收到这些了,昨天，我把这个给别人了,SUBJECT|COD_NUMBER|ROLE,1.7,1,昨天，我收到这个了,RECEVOIR_QCH,SINGLE_COD,l',PASSE_COMPOSE,JE,LE_LA,,,COD_OBJECT,L_AI,SUBJECT,COD_NUMBER,ROLE,"seed=PC_0001; context=Hier,"
PC_0018,SINGLE_CLITIC,SINGLE_COD,D1,"Aujourd'hui, elle les connaît.",今天，她认识他们,今天，她认识他们,今天，他认识他们,今天，她认识他,今天，他们认识她,SUBJECT|COD_NUMBER|ROLE,1.0,1,今天，她认识他们,CONNAITRE_QN,SINGLE_COD,les,PRESENT,ELLE,LES,,,COD_PERSON,,SUBJECT,COD_NUMBER,ROLE,"seed=PC_0002; context=Aujourd'hui,"
PC_0019,SINGLE_CLITIC,SINGLE_COI,D2,"Hier, je lui ai répondu.",昨天，我回复他了,昨天，我回复他了,昨天，他回复我了,昨天，我回复他们了,昨天，我没回复他,ROLE_REVERSAL|COI_NUMBER|POLARITY,1.0,1,昨天，我回复他了,REPONDRE_A_QN,SINGLE_COI,lui,PASSE_COMPOSE,JE,LUI,,,RECIPIENT,,ROLE_REVERSAL,COI_NUMBER,POLARITY,"seed=PC_0003; context=Hier,"
PC_0020,SINGLE_CLITIC,SINGLE_COI,D2,"Hier, nous leur avons écrit.",昨天，我们给他们写信了,昨天，我们给他们写信了,昨天，他们给我们写信了,昨天，我们给他写信了,昨天，我们给他们打电话了,ROLE_REVERSAL|COI_NUMBER|LEXICAL,1.2,1,昨天，我们给他们写信了,ECRIRE_A_QN,SINGLE_COI,leur,PASSE_COMPOSE,NOUS,LEUR,,,RECIPIENT,,ROLE_REVERSAL,COI_NUMBER,LEXICAL,"seed=PC_0004; context=Hier,"
PC_0021,SINGLE_CLITIC,SINGLE_PERSON,D2,"Hier, il m'a appelé.",昨天，他给我打电话了,昨天，他给我打电话了,昨天，我给他打电话了,昨天，他给我们打电话了,昨天，他给我写信了,ROLE_REVERSAL|PERSON|LEXICAL,1.8,1,昨天，他给我打电话了,APPELER_QN,SINGLE_PERSON,m',PASSE_COMPOSE,IL,ME,,,COD_PERSON,M_A,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0005; context=Hier,"
PC_0022,SINGLE_CLITIC,SINGLE_PERSON,D2,"Hier, elle nous a prévenus.",昨天，她通知我们了,昨天，她通知我们了,昨天，我们通知她了,昨天，她通知他们了,昨天，她帮助我们了,ROLE_REVERSAL|PERSON|LEXICAL,1.0,1,昨天，她通知我们了,PREVENIR_QN,SINGLE_PERSON,nous,PASSE_COMPOSE,ELLE,NOUS,,,COD_PERSON,,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0006; context=Hier,"
PC_0023,SINGLE_CLITIC,SINGLE_PERSON,D2,"Hier, je vous ai entendu.",昨天，我听见您了,昨天，我听见您了,昨天，您听见我了,昨天，我听见他们了,昨天，我看见您了,ROLE_REVERSAL|PERSON|LEXICAL,1.4,1,昨天，我听见您了,ENTENDRE_QN,SINGLE_PERSON,vous,PASSE_COMPOSE,JE,VOUS,,,COD_PERSON,VOUS_AI,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0007; context=Hier,"
PC_0024,SINGLE_CLITIC,EN_LEXICAL,D1,"Hier, j'en ai besoin.",昨天，我需要这个,昨天，我需要这个,昨天，他需要这个,昨天，我不需要这个,昨天，我需要这些,SUBJECT|POLARITY|NUMBER,1.7,1,昨天，我需要这个,AVOIR_BESOIN_DE,SINGLE_EN,en,PRESENT,JE,EN,,,LEXICAL_EN,EN_AI,SUBJECT,POLARITY,NUMBER,"seed=PC_0008; context=Hier,"
PC_0025,SINGLE_CLITIC,EN_TOPIC,D1,"Aujourd'hui, il en parle souvent.",今天，他经常谈这件事,今天，他经常谈这件事,今天，我经常谈这件事,今天，他经常谈那些人,今天，他很少谈这件事,SUBJECT|SEMANTIC|ADJUNCT,1.0,1,今天，他经常谈这件事,PARLER_DE,SINGLE_EN,en,PRESENT,IL,EN,,,TOPIC,,SUBJECT,SEMANTIC,ADJUNCT,"seed=PC_0009; context=Aujourd'hui,"
PC_0026,SINGLE_CLITIC,EN_QUANTITY,D2,"Hier, nous en avons acheté trois.",昨天，我们买了三个,昨天，我们买了三个,昨天，他们买了三个,昨天，我们买了一个,昨天，我们卖了三个,SUBJECT|QUANTITY|LEXICAL,1.7,1,昨天，我们买了三个,ACHETER_QCH,SINGLE_EN,en,PASSE_COMPOSE,NOUS,EN,,,QUANTITY,NOUS_EN_AVONS,SUBJECT,QUANTITY,LEXICAL,"seed=PC_0010; context=Hier,"
PC_0027,SINGLE_CLITIC,Y_LOCATION,D1,"Aujourd'hui, j'y vais demain.",今天，我明天去那里,今天，我明天去那里,今天，他明天去那里,今天，我明天从那里回来,今天，我今天去那里,SUBJECT|DIRECTION|ADJUNCT,1.0,1,今天，我明天去那里,ALLER_A_LIEU,SINGLE_Y,y,PRESENT,JE,Y,,,LOCATION,,SUBJECT,DIRECTION,ADJUNCT,"seed=PC_0011; context=Aujourd'hui,"
PC_0028,SINGLE_CLITIC,Y_TOPIC,D1,"Aujourd'hui, elle y pense encore.",今天，她还在想这件事,今天，她还在想这件事,今天，他还在想这件事,今天，她已经忘了这件事,今天，她还在想别的事,SUBJECT|LEXICAL|SEMANTIC,1.0,1,今天，她还在想这件事,PENSER_A,SINGLE_Y,y,PRESENT,ELLE,Y,,,TOPIC,,SUBJECT,LEXICAL,SEMANTIC,"seed=PC_0012; context=Aujourd'hui,"
PC_0029,SINGLE_CLITIC,Y_TOPIC,D2,"Hier, vous y avez participé.",昨天，您参加了这个活动,昨天，您参加了这个活动,昨天，我们参加了这个活动,昨天，您退出了这个活动,昨天，您参加了这些活动,SUBJECT|LEXICAL|NUMBER,1.4,1,昨天，您参加了这个活动,PARTICIPER_A,SINGLE_Y,y,PASSE_COMPOSE,VOUS,Y,,,EVENT,VOUS_Y_AVEZ,SUBJECT,LEXICAL,NUMBER,"seed=PC_0013; context=Hier,"
PC_0030,SINGLE_CLITIC,REFLEXIVE,D2,"Hier, je me suis trompé.",昨天，我搞错了,昨天，我搞错了,昨天，他搞错了,昨天，我没搞错,昨天，我迟到了,SUBJECT|POLARITY|LEXICAL,1.3,1,昨天，我搞错了,SE_TROMPER,SINGLE_REFLEXIVE,me,PASSE_COMPOSE,JE,ME,,,LEXICAL_REFLEXIVE,ME_SUIS,SUBJECT,POLARITY,LEXICAL,"seed=PC_0014; context=Hier,"
PC_0031,SINGLE_CLITIC,REFLEXIVE,D2,"Hier, elle s'est inscrite.",昨天，她报名了,昨天，她报名了,昨天，他报名了,昨天，她取消报名了,昨天，她已经到了,SUBJECT|POLARITY|LEXICAL,1.7,1,昨天，她报名了,S_INSCRIRE,SINGLE_REFLEXIVE,s',PASSE_COMPOSE,ELLE,SE,,,LEXICAL_REFLEXIVE,S_EST,SUBJECT,POLARITY,LEXICAL,"seed=PC_0015; context=Hier,"
PC_0032,SINGLE_CLITIC,REFLEXIVE,D2,"Hier, ils se sont rencontrés.",昨天，他们见面了,昨天，他们见面了,昨天，我们见面了,昨天，他们没见面,昨天，他们打电话了,SUBJECT|POLARITY|LEXICAL,1.5,1,昨天，他们见面了,SE_RENCONTRER,SINGLE_REFLEXIVE,se,PASSE_COMPOSE,ILS,SE,,,RECIPROCAL,SE_SONT,SUBJECT,POLARITY,LEXICAL,"seed=PC_0016; context=Hier,"
PC_0033,SINGLE_CLITIC,SINGLE_COD,D2,"Avant-hier, je l'ai reçu.",前天，我收到这个了,前天，我收到这个了,前天，他收到这个了,前天，我收到这些了,前天，我把这个给别人了,SUBJECT|COD_NUMBER|ROLE,1.7,1,前天，我收到这个了,RECEVOIR_QCH,SINGLE_COD,l',PASSE_COMPOSE,JE,LE_LA,,,COD_OBJECT,L_AI,SUBJECT,COD_NUMBER,ROLE,"seed=PC_0001; context=Avant-hier,"
PC_0034,SINGLE_CLITIC,SINGLE_COD,D1,"Maintenant, elle les connaît.",现在，她认识他们,现在，她认识他们,现在，他认识他们,现在，她认识他,现在，他们认识她,SUBJECT|COD_NUMBER|ROLE,1.0,1,现在，她认识他们,CONNAITRE_QN,SINGLE_COD,les,PRESENT,ELLE,LES,,,COD_PERSON,,SUBJECT,COD_NUMBER,ROLE,"seed=PC_0002; context=Maintenant,"
PC_0035,SINGLE_CLITIC,SINGLE_COI,D2,"Avant-hier, je lui ai répondu.",前天，我回复他了,前天，我回复他了,前天，他回复我了,前天，我回复他们了,前天，我没回复他,ROLE_REVERSAL|COI_NUMBER|POLARITY,1.0,1,前天，我回复他了,REPONDRE_A_QN,SINGLE_COI,lui,PASSE_COMPOSE,JE,LUI,,,RECIPIENT,,ROLE_REVERSAL,COI_NUMBER,POLARITY,"seed=PC_0003; context=Avant-hier,"
PC_0036,SINGLE_CLITIC,SINGLE_COI,D2,"Avant-hier, nous leur avons écrit.",前天，我们给他们写信了,前天，我们给他们写信了,前天，他们给我们写信了,前天，我们给他写信了,前天，我们给他们打电话了,ROLE_REVERSAL|COI_NUMBER|LEXICAL,1.2,1,前天，我们给他们写信了,ECRIRE_A_QN,SINGLE_COI,leur,PASSE_COMPOSE,NOUS,LEUR,,,RECIPIENT,,ROLE_REVERSAL,COI_NUMBER,LEXICAL,"seed=PC_0004; context=Avant-hier,"
PC_0037,SINGLE_CLITIC,SINGLE_PERSON,D2,"Avant-hier, il m'a appelé.",前天，他给我打电话了,前天，他给我打电话了,前天，我给他打电话了,前天，他给我们打电话了,前天，他给我写信了,ROLE_REVERSAL|PERSON|LEXICAL,1.8,1,前天，他给我打电话了,APPELER_QN,SINGLE_PERSON,m',PASSE_COMPOSE,IL,ME,,,COD_PERSON,M_A,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0005; context=Avant-hier,"
PC_0038,SINGLE_CLITIC,SINGLE_PERSON,D2,"Avant-hier, elle nous a prévenus.",前天，她通知我们了,前天，她通知我们了,前天，我们通知她了,前天，她通知他们了,前天，她帮助我们了,ROLE_REVERSAL|PERSON|LEXICAL,1.0,1,前天，她通知我们了,PREVENIR_QN,SINGLE_PERSON,nous,PASSE_COMPOSE,ELLE,NOUS,,,COD_PERSON,,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0006; context=Avant-hier,"
PC_0039,SINGLE_CLITIC,SINGLE_PERSON,D2,"Avant-hier, je vous ai entendu.",前天，我听见您了,前天，我听见您了,前天，您听见我了,前天，我听见他们了,前天，我看见您了,ROLE_REVERSAL|PERSON|LEXICAL,1.4,1,前天，我听见您了,ENTENDRE_QN,SINGLE_PERSON,vous,PASSE_COMPOSE,JE,VOUS,,,COD_PERSON,VOUS_AI,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0007; context=Avant-hier,"
PC_0040,SINGLE_CLITIC,EN_LEXICAL,D1,"Avant-hier, j'en ai besoin.",前天，我需要这个,前天，我需要这个,前天，他需要这个,前天，我不需要这个,前天，我需要这些,SUBJECT|POLARITY|NUMBER,1.7,1,前天，我需要这个,AVOIR_BESOIN_DE,SINGLE_EN,en,PRESENT,JE,EN,,,LEXICAL_EN,EN_AI,SUBJECT,POLARITY,NUMBER,"seed=PC_0008; context=Avant-hier,"
PC_0041,SINGLE_CLITIC,EN_TOPIC,D1,"Maintenant, il en parle souvent.",现在，他经常谈这件事,现在，他经常谈这件事,现在，我经常谈这件事,现在，他经常谈那些人,现在，他很少谈这件事,SUBJECT|SEMANTIC|ADJUNCT,1.0,1,现在，他经常谈这件事,PARLER_DE,SINGLE_EN,en,PRESENT,IL,EN,,,TOPIC,,SUBJECT,SEMANTIC,ADJUNCT,"seed=PC_0009; context=Maintenant,"
PC_0042,SINGLE_CLITIC,EN_QUANTITY,D2,"Avant-hier, nous en avons acheté trois.",前天，我们买了三个,前天，我们买了三个,前天，他们买了三个,前天，我们买了一个,前天，我们卖了三个,SUBJECT|QUANTITY|LEXICAL,1.7,1,前天，我们买了三个,ACHETER_QCH,SINGLE_EN,en,PASSE_COMPOSE,NOUS,EN,,,QUANTITY,NOUS_EN_AVONS,SUBJECT,QUANTITY,LEXICAL,"seed=PC_0010; context=Avant-hier,"
PC_0043,SINGLE_CLITIC,Y_LOCATION,D1,"Maintenant, j'y vais demain.",现在，我明天去那里,现在，我明天去那里,现在，他明天去那里,现在，我明天从那里回来,现在，我今天去那里,SUBJECT|DIRECTION|ADJUNCT,1.0,1,现在，我明天去那里,ALLER_A_LIEU,SINGLE_Y,y,PRESENT,JE,Y,,,LOCATION,,SUBJECT,DIRECTION,ADJUNCT,"seed=PC_0011; context=Maintenant,"
PC_0044,SINGLE_CLITIC,Y_TOPIC,D1,"Maintenant, elle y pense encore.",现在，她还在想这件事,现在，她还在想这件事,现在，他还在想这件事,现在，她已经忘了这件事,现在，她还在想别的事,SUBJECT|LEXICAL|SEMANTIC,1.0,1,现在，她还在想这件事,PENSER_A,SINGLE_Y,y,PRESENT,ELLE,Y,,,TOPIC,,SUBJECT,LEXICAL,SEMANTIC,"seed=PC_0012; context=Maintenant,"
PC_0045,SINGLE_CLITIC,Y_TOPIC,D2,"Avant-hier, vous y avez participé.",前天，您参加了这个活动,前天，您参加了这个活动,前天，我们参加了这个活动,前天，您退出了这个活动,前天，您参加了这些活动,SUBJECT|LEXICAL|NUMBER,1.4,1,前天，您参加了这个活动,PARTICIPER_A,SINGLE_Y,y,PASSE_COMPOSE,VOUS,Y,,,EVENT,VOUS_Y_AVEZ,SUBJECT,LEXICAL,NUMBER,"seed=PC_0013; context=Avant-hier,"
PC_0046,SINGLE_CLITIC,REFLEXIVE,D2,"Avant-hier, je me suis trompé.",前天，我搞错了,前天，我搞错了,前天，他搞错了,前天，我没搞错,前天，我迟到了,SUBJECT|POLARITY|LEXICAL,1.3,1,前天，我搞错了,SE_TROMPER,SINGLE_REFLEXIVE,me,PASSE_COMPOSE,JE,ME,,,LEXICAL_REFLEXIVE,ME_SUIS,SUBJECT,POLARITY,LEXICAL,"seed=PC_0014; context=Avant-hier,"
PC_0047,SINGLE_CLITIC,REFLEXIVE,D2,"Avant-hier, elle s'est inscrite.",前天，她报名了,前天，她报名了,前天，他报名了,前天，她取消报名了,前天，她已经到了,SUBJECT|POLARITY|LEXICAL,1.7,1,前天，她报名了,S_INSCRIRE,SINGLE_REFLEXIVE,s',PASSE_COMPOSE,ELLE,SE,,,LEXICAL_REFLEXIVE,S_EST,SUBJECT,POLARITY,LEXICAL,"seed=PC_0015; context=Avant-hier,"
PC_0048,SINGLE_CLITIC,REFLEXIVE,D2,"Avant-hier, ils se sont rencontrés.",前天，他们见面了,前天，他们见面了,前天，我们见面了,前天，他们没见面,前天，他们打电话了,SUBJECT|POLARITY|LEXICAL,1.5,1,前天，他们见面了,SE_RENCONTRER,SINGLE_REFLEXIVE,se,PASSE_COMPOSE,ILS,SE,,,RECIPROCAL,SE_SONT,SUBJECT,POLARITY,LEXICAL,"seed=PC_0016; context=Avant-hier,"
PC_0049,SINGLE_CLITIC,SINGLE_COD,D2,"Ce matin, je l'ai reçu.",今天早上，我收到这个了,今天早上，我收到这个了,今天早上，他收到这个了,今天早上，我收到这些了,今天早上，我把这个给别人了,SUBJECT|COD_NUMBER|ROLE,1.7,1,今天早上，我收到这个了,RECEVOIR_QCH,SINGLE_COD,l',PASSE_COMPOSE,JE,LE_LA,,,COD_OBJECT,L_AI,SUBJECT,COD_NUMBER,ROLE,"seed=PC_0001; context=Ce matin,"
PC_0050,SINGLE_CLITIC,SINGLE_COD,D1,"En ce moment, elle les connaît.",目前，她认识他们,目前，她认识他们,目前，他认识他们,目前，她认识他,目前，他们认识她,SUBJECT|COD_NUMBER|ROLE,1.0,1,目前，她认识他们,CONNAITRE_QN,SINGLE_COD,les,PRESENT,ELLE,LES,,,COD_PERSON,,SUBJECT,COD_NUMBER,ROLE,"seed=PC_0002; context=En ce moment,"
PC_0051,SINGLE_CLITIC,SINGLE_COI,D2,"Ce matin, je lui ai répondu.",今天早上，我回复他了,今天早上，我回复他了,今天早上，他回复我了,今天早上，我回复他们了,今天早上，我没回复他,ROLE_REVERSAL|COI_NUMBER|POLARITY,1.0,1,今天早上，我回复他了,REPONDRE_A_QN,SINGLE_COI,lui,PASSE_COMPOSE,JE,LUI,,,RECIPIENT,,ROLE_REVERSAL,COI_NUMBER,POLARITY,"seed=PC_0003; context=Ce matin,"
PC_0052,SINGLE_CLITIC,SINGLE_COI,D2,"Ce matin, nous leur avons écrit.",今天早上，我们给他们写信了,今天早上，我们给他们写信了,今天早上，他们给我们写信了,今天早上，我们给他写信了,今天早上，我们给他们打电话了,ROLE_REVERSAL|COI_NUMBER|LEXICAL,1.2,1,今天早上，我们给他们写信了,ECRIRE_A_QN,SINGLE_COI,leur,PASSE_COMPOSE,NOUS,LEUR,,,RECIPIENT,,ROLE_REVERSAL,COI_NUMBER,LEXICAL,"seed=PC_0004; context=Ce matin,"
PC_0053,SINGLE_CLITIC,SINGLE_PERSON,D2,"Ce matin, il m'a appelé.",今天早上，他给我打电话了,今天早上，他给我打电话了,今天早上，我给他打电话了,今天早上，他给我们打电话了,今天早上，他给我写信了,ROLE_REVERSAL|PERSON|LEXICAL,1.8,1,今天早上，他给我打电话了,APPELER_QN,SINGLE_PERSON,m',PASSE_COMPOSE,IL,ME,,,COD_PERSON,M_A,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0005; context=Ce matin,"
PC_0054,SINGLE_CLITIC,SINGLE_PERSON,D2,"Ce matin, elle nous a prévenus.",今天早上，她通知我们了,今天早上，她通知我们了,今天早上，我们通知她了,今天早上，她通知他们了,今天早上，她帮助我们了,ROLE_REVERSAL|PERSON|LEXICAL,1.0,1,今天早上，她通知我们了,PREVENIR_QN,SINGLE_PERSON,nous,PASSE_COMPOSE,ELLE,NOUS,,,COD_PERSON,,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0006; context=Ce matin,"
PC_0055,SINGLE_CLITIC,SINGLE_PERSON,D2,"Ce matin, je vous ai entendu.",今天早上，我听见您了,今天早上，我听见您了,今天早上，您听见我了,今天早上，我听见他们了,今天早上，我看见您了,ROLE_REVERSAL|PERSON|LEXICAL,1.4,1,今天早上，我听见您了,ENTENDRE_QN,SINGLE_PERSON,vous,PASSE_COMPOSE,JE,VOUS,,,COD_PERSON,VOUS_AI,ROLE_REVERSAL,PERSON,LEXICAL,"seed=PC_0007; context=Ce matin,"
PC_0056,SINGLE_CLITIC,EN_LEXICAL,D1,"Ce matin, j'en ai besoin.",今天早上，我需要这个,今天早上，我需要这个,今天早上，他需要这个,今天早上，我不需要这个,今天早上，我需要这些,SUBJECT|POLARITY|NUMBER,1.7,1,今天早上，我需要这个,AVOIR_BESOIN_DE,SINGLE_EN,en,PRESENT,JE,EN,,,LEXICAL_EN,EN_AI,SUBJECT,POLARITY,NUMBER,"seed=PC_0008; context=Ce matin,"
PC_0057,SINGLE_CLITIC,EN_TOPIC,D1,"En ce moment, il en parle souvent.",目前，他经常谈这件事,目前，他经常谈这件事,目前，我经常谈这件事,目前，他经常谈那些人,目前，他很少谈这件事,SUBJECT|SEMANTIC|ADJUNCT,1.0,1,目前，他经常谈这件事,PARLER_DE,SINGLE_EN,en,PRESENT,IL,EN,,,TOPIC,,SUBJECT,SEMANTIC,ADJUNCT,"seed=PC_0009; context=En ce moment,"
PC_0058,SINGLE_CLITIC,EN_QUANTITY,D2,"Ce matin, nous en avons acheté trois.",今天早上，我们买了三个,今天早上，我们买了三个,今天早上，他们买了三个,今天早上，我们买了一个,今天早上，我们卖了三个,SUBJECT|QUANTITY|LEXICAL,1.7,1,今天早上，我们买了三个,ACHETER_QCH,SINGLE_EN,en,PASSE_COMPOSE,NOUS,EN,,,QUANTITY,NOUS_EN_AVONS,SUBJECT,QUANTITY,LEXICAL,"seed=PC_0010; context=Ce matin,"
PC_0059,SINGLE_CLITIC,Y_LOCATION,D1,"En ce moment, j'y vais demain.",目前，我明天去那里,目前，我明天去那里,目前，他明天去那里,目前，我明天从那里回来,目前，我今天去那里,SUBJECT|DIRECTION|ADJUNCT,1.0,1,目前，我明天去那里,ALLER_A_LIEU,SINGLE_Y,y,PRESENT,JE,Y,,,LOCATION,,SUBJECT,DIRECTION,ADJUNCT,"seed=PC_0011; context=En ce moment,"
